NO (cm-1),Toluene,Toluene,T1,T2,T3 MPU,T3 PU,T4 -CSF,T4 -CCF,T4 -F,T5,T7,T9,T10-S,T10-R
2686.83584,98.1901,98.1901,57.3605416554692,68.2433866975145,90.9606446288478,93.6521425350522,84.4898213538864,88.7421535907501,79.4126986371879,69.4836429596493,92.2846346367083,97.1841125118068,-25.3381833176249,89.3942218385111
2690.17317,97.98653,97.98653,57.2461601694082,68.050982072959,91.0508156298889,93.6135155864789,84.6948719073527,88.7911530476865,79.5754699805267,69.3616896967449,92.156909574898,97.1354744209561,-25.3381833176249,89.3434953124376
2693.51051,97.78296,97.78296,57.1315065084845,67.8573867587438,91.1476771496213,93.5749234056362,84.765636121903,88.8252314894378,79.7382413238655,69.2364374556938,92.0292251251899,97.0868363301053,-25.3381833176249,89.2913404192591
2696.84785,97.57939,97.57939,57.0168528475608,67.6637914445285,91.2559799209349,93.5362964570629,84.8364003364533,88.8593269448893,79.8808782424952,69.1097224601814,91.9015000633795,97.0381982392546,-25.3381833176249,89.2355029617575
2700.18519,97.37582,97.37582,56.9040363669605,67.4684100958237,91.3642943077324,93.4976695084897,84.8741964737901,88.8771062617291,80.0091193432623,68.9769541509941,91.7737750015691,96.9895789784816,-25.3381833176249,89.1782513144919
2703.52252,97.17225,97.17225,56.7916281486543,67.2715674461729,91.481250614506,93.4590425599164,84.8593691224805,88.8886585642499,80.1373604440294,68.8427697709986,91.646090551861,96.9409408876308,-25.3381833176249,89.1169165930203
2706.85986,96.96868,96.96868,56.679219930348,67.0746706742649,91.5982301522473,93.4204503790736,84.8445417711708,88.900227880471,80.2296514407371,68.7016450879209,91.5067910408882,96.8923027967801,-25.3381833176249,89.0525479205761
2710.1972,96.76511,96.76511,56.5632734388263,66.8764208459254,91.7143849906361,93.3818234305004,84.804852276923,88.895413003279,80.3120822882239,68.559477803259,91.3362202111255,96.8436835360071,-25.3381833176249,88.984953903056
2713.53453,96.56154,96.56154,56.4465104227164,66.6761143718101,91.8300403632197,93.3431964819271,84.7480752365531,88.8893220985626,80.3945328560092,68.407895981905,91.1656087692605,96.7939721307241,-25.3381833176249,88.9104129884492
2716.87187,96.35797,96.35797,56.3296793628909,66.4757537754375,91.9427918648437,93.3045695333539,84.6912981961831,88.8813937142111,80.4213919024869,68.254166712512,90.9949973273955,96.7186329896115,-25.3381833176249,88.8327424258182
2720.20921,96.1544,96.1544,56.2145493959574,66.2734447778036,92.0470408322975,93.2659425847806,84.6128185522203,88.8613005341271,80.4475015776239,68.0901670394548,90.8243858855305,96.6432938484989,-25.3381833176249,88.7415750345617
2723.54655,95.95083,95.95083,56.0998957350337,66.0660482879873,92.1513014152353,93.2273504039378,84.5289191740995,88.8412243677434,80.4623115217537,67.9222459395439,90.6537744436655,96.5679547073863,-25.3381833176249,88.6387467803384
2726.88388,95.74726,95.74726,55.9851740303943,65.858651798171,92.2353510562933,93.1887234553646,84.4448896276912,88.8172520639853,80.4291814203714,67.7449881090291,90.4832036139028,96.4926155662737,-25.3381833176249,88.517332032073
2730.22122,95.54369,95.54369,55.8705203694705,65.6496857628942,92.3167059051008,93.1500965067913,84.3420330134987,88.7856065813805,80.3960710392876,67.5618636994516,90.3125921720378,96.4172764251611,-25.3381833176249,88.3357628259737
2733.55856,93.87067,93.87067,55.7558667085468,65.4321142887133,92.3797082894428,93.1114695582181,84.2391763993061,88.7539610987757,80.3425107087196,67.3705385281603,90.1419807301728,96.3419561141262,-25.3381833176249,88.1267250217001
